trip,sensor,unit,n_samples,duration_s,rate_hz,dt_min_ms,dt_max_ms,gaps_gt_50ms,duplicate_timestamps,n_missing,monotonic_time
trip1_outbound,accelerometer,m/s^2,11274,112.276,100.403,9.958,9.961,0,0,0,True
trip1_outbound,accelerometer_uncalibrated,g,11275,112.286,100.403,9.958,9.961,0,0,0,True
trip1_outbound,gravity,m/s^2,11274,112.276,100.403,9.958,9.961,0,0,0,True
trip1_outbound,gyroscope,rad/s,11274,112.276,100.403,9.958,9.961,0,0,0,True
trip1_outbound,gyroscope_uncalibrated,rad/s,11275,112.286,100.403,9.958,9.961,0,0,0,True
trip1_outbound,magnetometer,uT,11274,112.276,100.403,9.958,9.961,0,0,0,True
trip1_outbound,magnetometer_uncalibrated,uT,10881,112.314,96.871,10.32,10.326,0,0,0,True
trip1_outbound,orientation,rad / unit quaternion,11274,112.276,100.403,9.958,9.961,0,0,0,True
trip1_outbound,compass,deg,11274,112.276,100.403,9.958,9.961,0,0,0,True
trip2_return,accelerometer,m/s^2,7768,77.357,100.403,9.958,9.961,0,0,0,True
trip2_return,accelerometer_uncalibrated,g,7770,77.377,100.403,9.958,9.961,0,0,0,True
trip2_return,gravity,m/s^2,7768,77.357,100.403,9.958,9.961,0,0,0,True
trip2_return,gyroscope,rad/s,7768,77.357,100.403,9.958,9.961,0,0,0,True
trip2_return,gyroscope_uncalibrated,rad/s,7770,77.377,100.403,9.958,9.961,0,0,0,True
trip2_return,magnetometer,uT,7768,77.357,100.403,9.958,9.961,0,0,0,True
trip2_return,magnetometer_uncalibrated,uT,7496,77.371,96.871,10.32,10.326,0,0,0,True
trip2_return,orientation,rad / unit quaternion,7768,77.357,100.403,9.958,9.961,0,0,0,True
trip2_return,compass,deg,7768,77.357,100.403,9.958,9.961,0,0,0,True
trip3_outbound,accelerometer,m/s^2,13258,132.035,100.403,9.958,9.963,0,0,0,True
trip3_outbound,accelerometer_uncalibrated,g,13259,132.045,100.403,9.958,9.963,0,0,0,True
trip3_outbound,gravity,m/s^2,13258,132.035,100.403,9.958,9.963,0,0,0,True
trip3_outbound,gyroscope,rad/s,13258,132.035,100.403,9.958,9.963,0,0,0,True
trip3_outbound,gyroscope_uncalibrated,rad/s,13259,132.045,100.403,9.958,9.963,0,0,0,True
trip3_outbound,magnetometer,uT,13258,132.035,100.403,9.958,9.963,0,0,0,True
trip3_outbound,magnetometer_uncalibrated,uT,12792,132.045,96.869,10.32,10.327,0,0,0,True
trip3_outbound,orientation,rad / unit quaternion,13258,132.035,100.403,9.958,9.963,0,0,0,True
trip3_outbound,compass,deg,13258,132.035,100.403,9.958,9.963,0,0,0,True
